X00,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,time,day
9.7,988.8,1.2,0.6,0.0,1009.3,989.6,12.2,1009.9,1009.8,0.0,0.0,82.4,71.3,0.0,101.1,0.0,56.1,0.3,0.0,91.0,0.0,1002.5,1009.8,1.1,2.3,0.5,1008.7,12.3,1001.6,69.1,8.2,10.7,1010.1,0.0,256.4,0.0,77.2,62.6,0.0,0,0
9.3,988.9,1.7,1.9,0.0,1009.3,989.6,12.1,1010.0,1009.9,0.0,0.0,81.2,121.8,0.0,165.3,0.0,0.0,0.4,0.0,91.9,0.0,1002.5,1009.9,0.0,0.0,0.0,1008.7,12.1,1001.7,70.3,8.3,10.3,1010.1,0.0,215.4,0.0,77.3,63.5,0.0,1,0
9.4,989.0,1.1,2.3,0.0,1009.2,989.7,12.1,1010.1,1010.1,0.0,0.0,86.1,232.0,0.0,144.0,0.0,0.0,0.6,0.0,93.3,0.0,1002.4,1009.8,0.0,0.0,0.0,1008.6,12.1,1001.6,71.5,8.0,9.7,1010.0,0.0,235.2,0.0,77.3,63.9,0.0,2,0
9.4,988.9,1.5,0.7,0.0,1009.2,989.6,12.0,1010.0,1010.0,0.0,0.0,87.7,0.0,0.0,115.9,0.0,294.1,0.1,0.0,93.4,0.0,1002.4,1009.7,0.0,0.0,0.2,1008.7,12.1,1001.5,73.2,7.7,9.4,1010.1,0.0,214.0,0.0,77.5,64.5,0.0,3,0
9.2,988.9,0.8,1.7,0.0,1009.2,989.7,12.0,1010.1,1010.0,0.0,0.0,88.9,0.0,0.0,124.7,0.0,0.0,0.0,0.0,94.1,0.0,1002.4,1009.7,0.0,0.0,0.0,1008.7,12.0,1001.5,74.3,7.4,9.4,1010.1,0.0,174.9,0.0,78.0,65.0,0.0,4,0
9.1,988.9,1.3,0.7,0.0,1009.1,989.6,12.0,1010.0,1010.0,0.0,0.0,90.7,222.0,0.0,174.2,0.0,0.0,0.2,0.0,94.6,0.0,1002.3,1009.7,0.0,0.0,0.0,1008.7,12.0,1001.5,75.7,7.3,9.1,1010.1,0.0,243.1,0.0,78.7,65.1,0.0,5,0
9.1,988.8,2.4,1.9,0.0,1009.1,989.6,12.0,1010.1,1010.0,0.0,0.0,90.2,257.8,0.0,168.9,0.0,0.0,0.3,0.0,94.9,0.0,1002.3,1009.6,0.0,0.0,0.0,1008.7,11.8,1001.4,79.0,7.1,8.6,1010.1,0.0,195.8,0.0,78.6,65.5,0.0,6,0
8.9,988.9,1.0,1.2,0.0,1009.2,989.7,11.9,1010.1,1010.1,0.0,0.0,91.9,226.4,0.0,112.8,0.0,0.0,0.4,0.0,95.0,0.0,1002.4,1009.7,0.0,0.0,0.0,1008.7,11.8,1001.5,78.2,7.1,8.8,1010.1,0.0,262.7,0.0,78.6,65.7,0.0,7,0
9.0,988.9,1.5,0.1,0.0,1009.2,989.6,11.9,1010.0,1010.1,0.0,0.0,92.2,215.0,0.0,157.4,0.0,0.0,0.6,0.0,95.5,0.0,1002.4,1009.7,0.0,0.0,0.0,1008.7,11.6,1001.5,77.5,7.0,8.8,1010.1,0.0,236.1,0.0,78.8,66.5,0.0,8,0
8.8,988.9,1.4,0.4,0.0,1009.4,989.6,11.8,1010.1,1010.1,0.0,0.0,92.7,214.4,0.0,134.0,0.0,0.0,0.6,0.0,95.6,0.0,1002.5,1009.7,0.0,0.0,0.0,1008.6,11.5,1001.5,79.3,7.1,8.5,1010.0,0.0,230.9,0.0,78.8,67.6,0.0,9,0
