time,X00,X07,X30,X31,X34,X34_diff,X31_1,X31_2,X31_3,X31_4,X31_5,X31_6,X31_7,X31_8,X31_9,X31_10,X31_11,X31_12,X34_diff_1,X34_diff_2,X34_diff_3,X34_diff_4,X34_diff_5,X34_diff_6,X34_diff_7,X34_diff_8,X34_diff_9,X34_diff_10,X34_diff_11,X34_diff_12,X34_diff_13,X34_diff_14,X34_diff_15,X34_diff_16,X34_diff_17,X34_diff_18,X34_diff_19,X34_diff_20
0,-2.236612870066318,-2.1609797983456,0.15993549384233238,-2.1100012005066606,-1.015988196965355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-2.321591337251529,-2.183827771863645,0.21568867789711368,-2.0918842025415443,-1.015988196965355,0.0,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-2.3003467204552264,-2.183827771863645,0.271441861951895,-2.1462351964368924,-1.015988196965355,0.0,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-2.3003467204552264,-2.20667574538169,0.3504255393628351,-2.20058619033224,-1.015988196965355,0.0,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-2.3428359540478323,-2.20667574538169,0.4015326247463843,-2.254937184227588,-1.015988196965355,0.0,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-2.364080570844135,-2.20667574538169,0.46657800614362926,-2.2730541821927037,-1.015988196965355,0.0,-2.254937184227588,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-2.364080570844135,-2.20667574538169,0.6198992622942774,-2.3092881781229355,-1.015988196965355,0.0,-2.2730541821927037,-2.254937184227588,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-2.4065698044367405,-2.2295237188997348,0.5827304729244234,-2.3092881781229355,-1.015988196965355,0.0,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-2.3853251876404378,-2.2295237188997348,0.5502077822258009,-2.3274051760880514,-1.015988196965355,0.0,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-2.4278144212330433,-2.2523716924177797,0.6338375583079725,-2.3092881781229355,-1.015988196965355,0.0,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
